,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,target
349,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
350,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
351,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
352,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
353,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0
354,2.0,2.0,2.0,2.0,2.0,4.0,5.0,6.0
355,2.0,2.0,2.0,2.0,4.0,5.0,6.0,7.0
356,2.0,2.0,2.0,4.0,5.0,6.0,7.0,9.0
357,2.0,2.0,4.0,5.0,6.0,7.0,9.0,11.0
358,2.0,4.0,5.0,6.0,7.0,9.0,11.0,11.0
359,4.0,5.0,6.0,7.0,9.0,11.0,11.0,11.0
360,5.0,6.0,7.0,9.0,11.0,11.0,11.0,19.0
361,6.0,7.0,9.0,11.0,11.0,11.0,19.0,21.0
362,7.0,9.0,11.0,11.0,11.0,19.0,21.0,25.0
363,9.0,11.0,11.0,11.0,19.0,21.0,25.0,30.0
364,11.0,11.0,11.0,19.0,21.0,25.0,30.0,34.0
365,11.0,11.0,19.0,21.0,25.0,30.0,34.0,32.0
366,11.0,19.0,21.0,25.0,30.0,34.0,32.0,34.0
367,19.0,21.0,25.0,30.0,34.0,32.0,34.0,32.0
368,21.0,25.0,30.0,34.0,32.0,34.0,32.0,36.0
369,25.0,30.0,34.0,32.0,34.0,32.0,36.0,42.0
370,30.0,34.0,32.0,34.0,32.0,36.0,42.0,44.0
371,34.0,32.0,34.0,32.0,36.0,42.0,44.0,43.0
372,32.0,34.0,32.0,36.0,42.0,44.0,43.0,44.0
373,34.0,32.0,36.0,42.0,44.0,43.0,44.0,50.0
374,32.0,36.0,42.0,44.0,43.0,44.0,50.0,101.0
375,68.0,35.0,19.0,16.0,10.0,7.0,6.0,5.0
376,35.0,19.0,16.0,10.0,7.0,6.0,5.0,5.0
377,19.0,16.0,10.0,7.0,6.0,5.0,5.0,7.0
378,16.0,10.0,7.0,6.0,5.0,5.0,7.0,7.0
