,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,target
274,61.0,55.0,52.0,46.0,45.0,34.0,36.0,36.0,35.0,35.0
275,55.0,52.0,46.0,45.0,34.0,36.0,36.0,35.0,35.0,35.0
276,52.0,46.0,45.0,34.0,36.0,36.0,35.0,35.0,35.0,35.0
277,46.0,45.0,34.0,36.0,36.0,35.0,35.0,35.0,35.0,33.0
278,45.0,34.0,36.0,36.0,35.0,35.0,35.0,35.0,33.0,28.0
279,34.0,36.0,36.0,35.0,35.0,35.0,35.0,33.0,28.0,31.0
280,36.0,36.0,35.0,35.0,35.0,35.0,33.0,28.0,31.0,32.0
281,36.0,35.0,35.0,35.0,35.0,33.0,28.0,31.0,32.0,35.0
282,35.0,35.0,35.0,35.0,33.0,28.0,31.0,32.0,35.0,37.0
283,35.0,35.0,35.0,33.0,28.0,31.0,32.0,35.0,37.0,41.0
284,35.0,35.0,33.0,28.0,31.0,32.0,35.0,37.0,41.0,47.0
285,35.0,33.0,28.0,31.0,32.0,35.0,37.0,41.0,47.0,49.0
286,33.0,28.0,31.0,32.0,35.0,37.0,41.0,47.0,49.0,101.0
287,89.0,79.0,67.0,57.0,47.0,43.0,36.0,35.0,36.0,36.0
288,79.0,67.0,57.0,47.0,43.0,36.0,35.0,36.0,36.0,32.0
289,67.0,57.0,47.0,43.0,36.0,35.0,36.0,36.0,32.0,28.0
290,57.0,47.0,43.0,36.0,35.0,36.0,36.0,32.0,28.0,28.0
291,47.0,43.0,36.0,35.0,36.0,36.0,32.0,28.0,28.0,25.0
292,43.0,36.0,35.0,36.0,36.0,32.0,28.0,28.0,25.0,21.0
293,36.0,35.0,36.0,36.0,32.0,28.0,28.0,25.0,21.0,18.0
294,35.0,36.0,36.0,32.0,28.0,28.0,25.0,21.0,18.0,18.0
295,36.0,36.0,32.0,28.0,28.0,25.0,21.0,18.0,18.0,14.0
296,36.0,32.0,28.0,28.0,25.0,21.0,18.0,18.0,14.0,13.0
297,32.0,28.0,28.0,25.0,21.0,18.0,18.0,14.0,13.0,11.0
298,28.0,28.0,25.0,21.0,18.0,18.0,14.0,13.0,11.0,11.0
299,28.0,25.0,21.0,18.0,18.0,14.0,13.0,11.0,11.0,12.0
300,25.0,21.0,18.0,18.0,14.0,13.0,11.0,11.0,12.0,12.0
301,21.0,18.0,18.0,14.0,13.0,11.0,11.0,12.0,12.0,12.0
302,18.0,18.0,14.0,13.0,11.0,11.0,12.0,12.0,12.0,13.0
303,18.0,14.0,13.0,11.0,11.0,12.0,12.0,12.0,13.0,15.0
304,14.0,13.0,11.0,11.0,12.0,12.0,12.0,13.0,15.0,15.0
305,13.0,11.0,11.0,12.0,12.0,12.0,13.0,15.0,15.0,15.0
306,11.0,11.0,12.0,12.0,12.0,13.0,15.0,15.0,15.0,15.0
307,11.0,12.0,12.0,12.0,13.0,15.0,15.0,15.0,15.0,16.0
308,12.0,12.0,12.0,13.0,15.0,15.0,15.0,15.0,16.0,19.0
309,12.0,12.0,13.0,15.0,15.0,15.0,15.0,16.0,19.0,21.0
310,12.0,13.0,15.0,15.0,15.0,15.0,16.0,19.0,21.0,26.0
311,13.0,15.0,15.0,15.0,15.0,16.0,19.0,21.0,26.0,22.0
312,15.0,15.0,15.0,15.0,16.0,19.0,21.0,26.0,22.0,26.0
313,15.0,15.0,15.0,16.0,19.0,21.0,26.0,22.0,26.0,29.0
314,15.0,15.0,16.0,19.0,21.0,26.0,22.0,26.0,29.0,29.0
315,15.0,16.0,19.0,21.0,26.0,22.0,26.0,29.0,29.0,33.0
316,16.0,19.0,21.0,26.0,22.0,26.0,29.0,29.0,33.0,34.0
317,19.0,21.0,26.0,22.0,26.0,29.0,29.0,33.0,34.0,38.0
318,21.0,26.0,22.0,26.0,29.0,29.0,33.0,34.0,38.0,46.0
319,26.0,22.0,26.0,29.0,29.0,33.0,34.0,38.0,46.0,44.0
320,22.0,26.0,29.0,29.0,33.0,34.0,38.0,46.0,44.0,48.0
321,26.0,29.0,29.0,33.0,34.0,38.0,46.0,44.0,48.0,47.0
322,29.0,29.0,33.0,34.0,38.0,46.0,44.0,48.0,47.0,50.0
323,29.0,33.0,34.0,38.0,46.0,44.0,48.0,47.0,50.0,101.0
324,91.0,85.0,85.0,66.0,59.0,55.0,54.0,41.0,44.0,29.0
325,85.0,85.0,66.0,59.0,55.0,54.0,41.0,44.0,29.0,36.0
