,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,target
266,38.0,37.0,36.0,41.0,44.0,52.0,53.0,59.0,63.0,64.0
267,37.0,36.0,41.0,44.0,52.0,53.0,59.0,63.0,64.0,101.0
268,61.0,28.0,8.0,27.0,51.0,76.0,82.0,86.0,83.0,85.0
269,28.0,8.0,27.0,51.0,76.0,82.0,86.0,83.0,85.0,96.0
270,8.0,27.0,51.0,76.0,82.0,86.0,83.0,85.0,96.0,101.0
271,91.0,62.0,52.0,51.0,51.0,52.0,47.0,49.0,46.0,42.0
272,62.0,52.0,51.0,51.0,52.0,47.0,49.0,46.0,42.0,41.0
273,52.0,51.0,51.0,52.0,47.0,49.0,46.0,42.0,41.0,35.0
274,51.0,51.0,52.0,47.0,49.0,46.0,42.0,41.0,35.0,36.0
275,51.0,52.0,47.0,49.0,46.0,42.0,41.0,35.0,36.0,39.0
276,52.0,47.0,49.0,46.0,42.0,41.0,35.0,36.0,39.0,35.0
277,47.0,49.0,46.0,42.0,41.0,35.0,36.0,39.0,35.0,34.0
278,49.0,46.0,42.0,41.0,35.0,36.0,39.0,35.0,34.0,43.0
279,46.0,42.0,41.0,35.0,36.0,39.0,35.0,34.0,43.0,53.0
280,42.0,41.0,35.0,36.0,39.0,35.0,34.0,43.0,53.0,50.0
281,41.0,35.0,36.0,39.0,35.0,34.0,43.0,53.0,50.0,47.0
282,35.0,36.0,39.0,35.0,34.0,43.0,53.0,50.0,47.0,101.0
283,74.0,42.0,24.0,16.0,13.0,9.0,6.0,5.0,3.0,3.0
284,42.0,24.0,16.0,13.0,9.0,6.0,5.0,3.0,3.0,2.0
285,24.0,16.0,13.0,9.0,6.0,5.0,3.0,3.0,2.0,2.0
286,16.0,13.0,9.0,6.0,5.0,3.0,3.0,2.0,2.0,2.0
287,13.0,9.0,6.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0
288,9.0,6.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
289,6.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
290,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
291,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
292,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0
293,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,6.0
294,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,6.0,7.0
295,2.0,2.0,2.0,2.0,2.0,4.0,5.0,6.0,7.0,9.0
296,2.0,2.0,2.0,2.0,4.0,5.0,6.0,7.0,9.0,11.0
297,2.0,2.0,2.0,4.0,5.0,6.0,7.0,9.0,11.0,11.0
298,2.0,2.0,4.0,5.0,6.0,7.0,9.0,11.0,11.0,11.0
299,2.0,4.0,5.0,6.0,7.0,9.0,11.0,11.0,11.0,19.0
300,4.0,5.0,6.0,7.0,9.0,11.0,11.0,11.0,19.0,21.0
301,5.0,6.0,7.0,9.0,11.0,11.0,11.0,19.0,21.0,25.0
302,6.0,7.0,9.0,11.0,11.0,11.0,19.0,21.0,25.0,30.0
303,7.0,9.0,11.0,11.0,11.0,19.0,21.0,25.0,30.0,34.0
304,9.0,11.0,11.0,11.0,19.0,21.0,25.0,30.0,34.0,32.0
305,11.0,11.0,11.0,19.0,21.0,25.0,30.0,34.0,32.0,34.0
306,11.0,11.0,19.0,21.0,25.0,30.0,34.0,32.0,34.0,32.0
307,11.0,19.0,21.0,25.0,30.0,34.0,32.0,34.0,32.0,36.0
308,19.0,21.0,25.0,30.0,34.0,32.0,34.0,32.0,36.0,42.0
309,21.0,25.0,30.0,34.0,32.0,34.0,32.0,36.0,42.0,44.0
310,25.0,30.0,34.0,32.0,34.0,32.0,36.0,42.0,44.0,43.0
311,30.0,34.0,32.0,34.0,32.0,36.0,42.0,44.0,43.0,44.0
312,34.0,32.0,34.0,32.0,36.0,42.0,44.0,43.0,44.0,50.0
313,32.0,34.0,32.0,36.0,42.0,44.0,43.0,44.0,50.0,101.0
314,68.0,35.0,19.0,16.0,10.0,7.0,6.0,5.0,5.0,7.0
315,35.0,19.0,16.0,10.0,7.0,6.0,5.0,5.0,7.0,7.0
316,19.0,16.0,10.0,7.0,6.0,5.0,5.0,7.0,7.0,9.0
317,16.0,10.0,7.0,6.0,5.0,5.0,7.0,7.0,9.0,14.0
318,10.0,7.0,6.0,5.0,5.0,7.0,7.0,9.0,14.0,23.0
319,7.0,6.0,5.0,5.0,7.0,7.0,9.0,14.0,23.0,29.0
320,6.0,5.0,5.0,7.0,7.0,9.0,14.0,23.0,29.0,39.0
321,5.0,5.0,7.0,7.0,9.0,14.0,23.0,29.0,39.0,42.0
322,5.0,7.0,7.0,9.0,14.0,23.0,29.0,39.0,42.0,45.0
323,7.0,7.0,9.0,14.0,23.0,29.0,39.0,42.0,45.0,46.0
324,7.0,9.0,14.0,23.0,29.0,39.0,42.0,45.0,46.0,50.0
325,9.0,14.0,23.0,29.0,39.0,42.0,45.0,46.0,50.0,50.0
