,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,target
365,15.0,16.0,19.0,21.0,26.0,22.0,26.0,29.0
366,16.0,19.0,21.0,26.0,22.0,26.0,29.0,29.0
367,19.0,21.0,26.0,22.0,26.0,29.0,29.0,33.0
368,21.0,26.0,22.0,26.0,29.0,29.0,33.0,34.0
369,26.0,22.0,26.0,29.0,29.0,33.0,34.0,38.0
370,22.0,26.0,29.0,29.0,33.0,34.0,38.0,46.0
371,26.0,29.0,29.0,33.0,34.0,38.0,46.0,44.0
372,29.0,29.0,33.0,34.0,38.0,46.0,44.0,48.0
373,29.0,33.0,34.0,38.0,46.0,44.0,48.0,47.0
374,33.0,34.0,38.0,46.0,44.0,48.0,47.0,50.0
375,34.0,38.0,46.0,44.0,48.0,47.0,50.0,101.0
376,91.0,85.0,85.0,66.0,59.0,55.0,54.0,41.0
377,85.0,85.0,66.0,59.0,55.0,54.0,41.0,44.0
378,85.0,66.0,59.0,55.0,54.0,41.0,44.0,29.0
379,66.0,59.0,55.0,54.0,41.0,44.0,29.0,36.0
380,59.0,55.0,54.0,41.0,44.0,29.0,36.0,27.0
381,55.0,54.0,41.0,44.0,29.0,36.0,27.0,43.0
382,54.0,41.0,44.0,29.0,36.0,27.0,43.0,59.0
383,41.0,44.0,29.0,36.0,27.0,43.0,59.0,67.0
384,44.0,29.0,36.0,27.0,43.0,59.0,67.0,78.0
385,29.0,36.0,27.0,43.0,59.0,67.0,78.0,101.0
386,69.0,58.0,52.0,42.0,34.0,31.0,28.0,28.0
387,58.0,52.0,42.0,34.0,31.0,28.0,28.0,23.0
388,52.0,42.0,34.0,31.0,28.0,28.0,23.0,23.0
389,42.0,34.0,31.0,28.0,28.0,23.0,23.0,23.0
390,34.0,31.0,28.0,28.0,23.0,23.0,23.0,23.0
391,31.0,28.0,28.0,23.0,23.0,23.0,23.0,28.0
392,28.0,28.0,23.0,23.0,23.0,23.0,28.0,26.0
393,28.0,23.0,23.0,23.0,23.0,28.0,26.0,27.0
394,23.0,23.0,23.0,23.0,28.0,26.0,27.0,25.0
395,23.0,23.0,23.0,28.0,26.0,27.0,25.0,33.0
396,23.0,23.0,28.0,26.0,27.0,25.0,33.0,38.0
397,23.0,28.0,26.0,27.0,25.0,33.0,38.0,41.0
398,28.0,26.0,27.0,25.0,33.0,38.0,41.0,46.0
399,26.0,27.0,25.0,33.0,38.0,41.0,46.0,101.0
400,20.0,18.0,16.0,16.0,13.0,13.0,13.0,12.0
401,18.0,16.0,16.0,13.0,13.0,13.0,12.0,17.0
402,16.0,16.0,13.0,13.0,13.0,12.0,17.0,17.0
403,16.0,13.0,13.0,13.0,12.0,17.0,17.0,18.0
404,13.0,13.0,13.0,12.0,17.0,17.0,18.0,17.0
