,diff_0,diff_1,diff_2,target
399,34.0,30.0,35.0,39.0
400,30.0,35.0,39.0,40.0
401,35.0,39.0,40.0,39.0
402,39.0,40.0,39.0,40.0
403,96.0,57.0,43.0,35.0
404,57.0,43.0,35.0,20.0
405,43.0,35.0,20.0,12.0
406,35.0,20.0,12.0,9.0
407,20.0,12.0,9.0,5.0
408,12.0,9.0,5.0,3.0
409,9.0,5.0,3.0,2.0
410,5.0,3.0,2.0,2.0
411,18.0,13.0,20.0,24.0
412,13.0,20.0,24.0,25.0
413,20.0,24.0,25.0,24.0
414,24.0,25.0,24.0,20.0
415,25.0,24.0,20.0,18.0
416,24.0,20.0,18.0,19.0
417,20.0,18.0,19.0,22.0
418,18.0,19.0,22.0,20.0
419,19.0,22.0,20.0,23.0
420,22.0,20.0,23.0,25.0
421,20.0,23.0,25.0,31.0
422,23.0,25.0,31.0,35.0
423,25.0,31.0,35.0,36.0
424,31.0,35.0,36.0,42.0
425,35.0,36.0,42.0,44.0
426,36.0,42.0,44.0,49.0
427,42.0,44.0,49.0,51.0
428,44.0,49.0,51.0,101.0
429,97.0,97.0,99.0,98.0
430,97.0,99.0,98.0,91.0
431,99.0,98.0,91.0,90.0
432,98.0,91.0,90.0,87.0
433,91.0,90.0,87.0,86.0
434,90.0,87.0,86.0,82.0
435,87.0,86.0,82.0,77.0
436,86.0,82.0,77.0,74.0
437,82.0,77.0,74.0,73.0
438,77.0,74.0,73.0,64.0
439,74.0,73.0,64.0,65.0
440,73.0,64.0,65.0,62.0
441,64.0,65.0,62.0,59.0
442,65.0,62.0,59.0,56.0
443,62.0,59.0,56.0,52.0
444,59.0,56.0,52.0,51.0
445,56.0,52.0,51.0,52.0
446,52.0,51.0,52.0,101.0
447,98.0,82.0,82.0,77.0
448,82.0,82.0,77.0,73.0
449,82.0,77.0,73.0,74.0
450,77.0,73.0,74.0,74.0
451,73.0,74.0,74.0,73.0
452,74.0,74.0,73.0,72.0
453,74.0,73.0,72.0,67.0
454,73.0,72.0,67.0,50.0
455,72.0,67.0,50.0,56.0
456,67.0,50.0,56.0,51.0
457,50.0,56.0,51.0,45.0
458,56.0,51.0,45.0,38.0
459,51.0,45.0,38.0,41.0
460,45.0,38.0,41.0,37.0
461,38.0,41.0,37.0,37.0
462,41.0,37.0,37.0,34.0
463,37.0,37.0,34.0,45.0
464,37.0,34.0,45.0,49.0
465,34.0,45.0,49.0,101.0
466,100.0,95.0,91.0,82.0
467,95.0,91.0,82.0,79.0
468,91.0,82.0,79.0,83.0
469,82.0,79.0,83.0,92.0
